decisionType,term,naturalCourt,petitioner,respondent,jurisdiction,threeJudgeFdc,caseOrigin,caseSource,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,lawType,lawSupp,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,caseId,docketId,caseIssuesId,voteId,dateDecision,usCite,sctCite,ledCite,lexisCite,chief,docket,caseName,dateArgument,dateRearg,lawMinor
1,1946,1301,198.0,172.0,6.0,0.0,51.0,29.0,0.0,11.0,2.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,80180.0,8.0,2.0,0.0,4.0,6.0,600.0,78.0,78.0,1,8,1,0,0,0,0,495,1,4497,7882,11,3,2051,3626,424,52,698
1,1946,1301,100.0,27.0,1.0,0.0,123.0,30.0,0.0,4.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,10500.0,1.0,1.0,0.0,4.0,6.0,600.0,81.0,87.0,1,6,3,1,1,1,1,495,3,4415,7779,12,3,1162,1757,464,35,261
1,1946,1301,100.0,27.0,1.0,0.0,123.0,30.0,0.0,4.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,10500.0,1.0,1.0,0.0,4.0,6.0,600.0,81.0,87.0,1,6,3,1,2,2,2,495,3,4415,7779,12,3,1692,1757,464,35,261
1,1946,1301,100.0,27.0,1.0,0.0,123.0,30.0,0.0,4.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,10500.0,1.0,1.0,0.0,4.0,6.0,600.0,81.0,87.0,1,6,3,1,3,3,3,495,3,4415,7779,12,3,1396,1757,464,35,261
1,1946,1301,100.0,27.0,1.0,0.0,123.0,30.0,0.0,4.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,10500.0,1.0,1.0,0.0,4.0,6.0,600.0,81.0,87.0,1,6,3,1,4,4,4,495,3,4415,7779,12,3,1888,1757,464,35,261
1,1946,1301,100.0,27.0,1.0,0.0,123.0,30.0,0.0,4.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,10500.0,1.0,1.0,0.0,4.0,6.0,600.0,81.0,87.0,1,6,3,1,5,5,5,495,3,4415,7779,12,3,1289,1757,464,35,261
1,1946,1301,100.0,27.0,1.0,0.0,123.0,30.0,0.0,4.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,10500.0,1.0,1.0,0.0,4.0,6.0,600.0,81.0,87.0,1,6,3,1,6,6,6,495,3,4415,7779,12,3,1601,1757,464,35,261
1,1946,1301,100.0,27.0,1.0,0.0,123.0,30.0,0.0,4.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,10500.0,1.0,1.0,0.0,4.0,6.0,600.0,81.0,87.0,1,6,3,1,7,7,7,495,3,4415,7779,12,3,1500,1757,464,35,261
1,1946,1301,100.0,27.0,1.0,0.0,123.0,30.0,0.0,4.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,10500.0,1.0,1.0,0.0,4.0,6.0,600.0,81.0,87.0,1,6,3,1,8,8,8,495,3,4415,7779,12,3,1789,1757,464,35,261
1,1946,1301,209.0,27.0,2.0,1.0,107.0,107.0,0.0,1.0,1.5743997664744946,2.0,1.0,2.0,0.0,0.0,0.0,0.0,80250.0,8.0,2.0,0.0,1.0,2.0,207.0,84.0,78.0,1,5,4,2,9,9,9,495,14,4389,7851,17,3,2010,1487,1393,36,373
1,1946,1301,209.0,27.0,2.0,1.0,107.0,107.0,0.0,1.0,1.5743997664744946,2.0,1.0,2.0,0.0,0.0,0.0,0.0,80250.0,8.0,2.0,0.0,1.0,1.0,111.0,84.0,78.0,1,5,4,2,9,10,10,495,14,4389,7851,17,3,2010,1487,1393,36,373
1,1946,1301,209.0,27.0,2.0,1.0,107.0,107.0,0.0,1.0,1.5743997664744946,2.0,1.0,2.0,0.0,0.0,0.0,0.0,80250.0,8.0,2.0,0.0,4.0,3.0,343.0,84.0,78.0,1,5,4,2,9,11,11,495,14,4389,7851,17,3,2010,1487,1393,36,373
7,1946,1301,27.0,170.0,1.0,0.0,3.0,3.0,0.0,10.0,1.5743997664744946,2.0,1.0,2.0,0.0,0.0,0.0,0.0,20150.0,2.0,2.0,0.0,4.0,6.0,600.0,87.0,87.0,1,5,3,3,10,12,12,527,23,4452,7853,10,3,2075,8613,362,55,896
1,1946,1301,27.0,176.0,1.0,0.0,3.0,3.0,0.0,2.0,1.5743997664744946,2.0,1.0,3.0,0.0,1.0,0.0,0.0,80060.0,8.0,2.0,0.0,7.0,1.5743997664744946,1.5743997664744946,78.0,87.0,1,6,3,4,11,13,13,527,43,4437,7898,15,3,2387,8919,774,104,373
1,1946,1301,198.0,4.0,2.0,0.0,302.0,300.0,1.0,1.0,3.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,80100.0,8.0,1.0,0.0,2.0,1.0,129.0,81.0,87.0,1,7,1,5,12,14,14,527,47,4441,7916,16,3,2331,7119,769,104,373
1,1946,1301,148.0,405.0,1.0,0.0,21.0,21.0,0.0,10.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,80120.0,8.0,2.0,0.0,1.0,6.0,600.0,82.0,74.0,1,6,0,6,13,15,15,527,48,4416,7764,22,3,2251,298,1087,23,116
1,1946,1301,148.0,405.0,1.0,0.0,21.0,21.0,0.0,10.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,80120.0,8.0,2.0,0.0,1.0,1.0,111.0,82.0,87.0,1,6,0,6,13,16,16,527,48,4416,7764,22,3,2251,298,1087,23,373
1,1946,1301,148.0,405.0,1.0,0.0,21.0,21.0,0.0,10.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,80120.0,8.0,2.0,0.0,1.0,2.0,207.0,82.0,87.0,1,6,0,6,13,17,17,527,48,4416,7764,22,3,2251,298,1087,23,373
1,1946,1301,148.0,405.0,1.0,0.0,21.0,21.0,0.0,10.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,80120.0,8.0,2.0,0.0,1.0,1.0,100.0,82.0,87.0,1,6,0,6,13,18,18,527,48,4416,7764,22,3,2251,298,1087,23,373
1,1946,1301,148.0,405.0,1.0,0.0,21.0,21.0,0.0,10.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,80120.0,8.0,2.0,0.0,1.0,2.0,207.0,82.0,74.0,1,6,0,6,14,19,19,527,48,4416,7764,22,3,2384,298,1087,23,373
1,1946,1301,148.0,405.0,1.0,0.0,21.0,21.0,0.0,10.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,80120.0,8.0,2.0,0.0,1.0,1.0,100.0,82.0,74.0,1,6,0,6,14,20,20,527,48,4416,7764,22,3,2384,298,1087,23,373
1,1946,1301,148.0,405.0,1.0,0.0,21.0,21.0,0.0,10.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,80120.0,8.0,2.0,0.0,1.0,6.0,600.0,82.0,74.0,1,6,0,6,14,21,21,527,48,4416,7764,22,3,2384,298,1087,23,116
1,1946,1301,148.0,405.0,1.0,0.0,21.0,21.0,0.0,10.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,80120.0,8.0,2.0,0.0,1.0,1.0,111.0,82.0,87.0,1,6,0,6,14,22,22,527,48,4416,7764,22,3,2384,298,1087,23,373
